conn_#	host_a	host_b	port_a	port_b	first_packet	last_packet	total_packets_a2b	total_packets_b2a	resets_sent_a2b	resets_sent_b2a	ack_pkts_sent_a2b	ack_pkts_sent_b2a	pure_acks_sent_a2b	pure_acks_sent_b2a	sack_pkts_sent_a2b	sack_pkts_sent_b2a	dsack_pkts_sent_a2b	dsack_pkts_sent_b2a	max_sack_blks/ack_a2b	max_sack_blks/ack_b2a	unique_bytes_sent_a2b	unique_bytes_sent_b2a	actual_data_pkts_a2b	actual_data_pkts_b2a	actual_data_bytes_a2b	actual_data_bytes_b2a	rexmt_data_pkts_a2b	rexmt_data_pkts_b2a	rexmt_data_bytes_a2b	rexmt_data_bytes_b2a	zwnd_probe_pkts_a2b	zwnd_probe_pkts_b2a	zwnd_probe_bytes_a2b	zwnd_probe_bytes_b2a	outoforder_pkts_a2b	outoforder_pkts_b2a	pushed_data_pkts_a2b	pushed_data_pkts_b2a	SYN/FIN_pkts_sent_a2b	SYN/FIN_pkts_sent_b2a	req_1323_ws/ts_a2b	req_1323_ws/ts_b2a	adv_wind_scale_a2b	adv_wind_scale_b2a	req_sack_a2b	req_sack_b2a	sacks_sent_a2b	sacks_sent_b2a	urgent_data_pkts_a2b	urgent_data_pkts_b2a	urgent_data_bytes_a2b	urgent_data_bytes_b2a	mss_requested_a2b	mss_requested_b2a	max_segm_size_a2b	max_segm_size_b2a	min_segm_size_a2b	min_segm_size_b2a	avg_segm_size_a2b	avg_segm_size_b2a	max_win_adv_a2b	max_win_adv_b2a	min_win_adv_a2b	min_win_adv_b2a	zero_win_adv_a2b	zero_win_adv_b2a	avg_win_adv_a2b	avg_win_adv_b2a	initial_window_bytes_a2b	initial_window_bytes_b2a	initial_window_pkts_a2b	initial_window_pkts_b2a	ttl_stream_length_a2b	ttl_stream_length_b2a	missed_data_a2b	missed_data_b2a	truncated_data_a2b	truncated_data_b2a	truncated_packets_a2b	truncated_packets_b2a	data_xmit_time_a2b	data_xmit_time_b2a	idletime_max_a2b	idletime_max_b2a	hardware_dups_a2b	hardware_dups_b2a	throughput_a2b	throughput_b2a	RTT_samples_a2b	RTT_samples_b2a	RTT_min_a2b	RTT_min_b2a	RTT_max_a2b	RTT_max_b2a	RTT_avg_a2b	RTT_avg_b2a	RTT_stdev_a2b	RTT_stdev_b2a	RTT_from_3WHS_a2b	RTT_from_3WHS_b2a	RTT_full_sz_smpls_a2b	RTT_full_sz_smpls_b2a	RTT_full_sz_min_a2b	RTT_full_sz_min_b2a	RTT_full_sz_max_a2b	RTT_full_sz_max_b2a	RTT_full_sz_avg_a2b	RTT_full_sz_avg_b2a	RTT full_sz_stdev_a2b	RTT_full_sz_stdev_b2a	post-loss_acks_a2b	post-loss_acks_b2a	ambiguous_acks_a2b	ambiguous_acks_b2a	RTT_min_(last)_a2b	RTT_min_(last)_b2a	RTT_max_(last)_a2b	RTT_max_(last)_b2a	RTT_avg_(last)_a2b	RTT_avg_(last)_b2a	RTT_sdv_(last)_a2b	RTT_sdv_(last)_b2a	segs_cum_acked_a2b	segs_cum_acked_b2a	duplicate_acks_a2b	duplicate_acks_b2a	triple_dupacks_a2b	triple_dupacks_b2a	max_#_retrans_a2b	max_#_retrans_b2a	min_retr_time_a2b	min_retr_time_b2a	max_retr_time_a2b	max_retr_time_b2a	avg_retr_time_a2b	avg_retr_time_b2a	sdv_retr_time_a2b	sdv_retr_time_b2a	time_namelookup	time_connect	time_appconnect	time_pretransfer	time_starttransfer	time_total	initcwnd	delay	bandwidth	max_queue_size	request_size
1	10.0.0.1	10.0.0.2	43610	80	1452615323.278099	1452615323.294723	6	4	0	0	5	4	3	1	0	0	0	0	0	0	395	1263	1	1	395	1263	0	0	0	0	0	0	0	0	0	0	1	1	1/1	1/1	Y/Y	Y/Y	9	9	Y	Y	0	0	0	0	0	0	1460	1460	395	1263	395	1263	394	1261	32256	32256	29696	32256	0	0	31232	32256	395	1263	1	1	395	1263	0	0	0	0	0	0	0.000	0.000	10.0	10.1	0	0	23761	75974	3	3	2.6	0.5	9.5	0.6	4.9	0.5	4.0	0.0	2.6	0.6	2	2	2.6	0.6	9.5	0.6	6.1	0.6	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.006	0.000	0.006	0.010	0.010	3	1	1	1000	1
1	10.0.0.1	10.0.0.2	43616	80	1452615324.746727	1452615324.772043	7	5	0	0	6	5	4	1	0	0	0	0	0	0	395	2287	1	2	395	2287	0	0	0	0	0	0	0	0	0	0	1	1	1/1	1/1	Y/Y	Y/Y	9	9	Y	Y	0	0	0	0	0	0	1460	1460	395	1448	395	839	394	1142	35328	32256	29696	32256	0	0	32938	32256	395	1448	1	1	395	2287	0	0	0	0	0	0	0.000	0.012	11.6	11.6	0	0	15603	90338	3	4	2.6	0.5	6.6	0.6	3.9	0.5	2.3	0.0	2.7	0.6	2	2	2.7	0.6	6.6	0.6	4.6	0.6	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.006	0.000	0.006	0.010	0.021	3	1	1	1000	2
1	10.0.0.1	10.0.0.2	43622	80	1452615326.220434	1452615326.262597	8	6	0	0	7	6	5	1	0	0	0	0	0	0	395	4336	1	3	395	4336	0	0	0	0	0	0	0	0	0	0	1	1	1/1	1/1	Y/Y	Y/Y	9	9	Y	Y	0	0	0	0	0	0	1460	1460	395	1448	395	1440	394	1444	37888	32256	29696	32256	0	0	34377	32256	395	1448	1	1	395	4336	0	0	0	0	0	0	0.000	0.024	12.2	12.2	0	0	9368	102839	3	5	2.6	0.5	11.4	0.6	5.5	0.5	5.1	0.0	2.6	0.5	2	2	2.6	0.5	11.4	0.6	7.0	0.5	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.006	0.000	0.006	0.010	0.033	3	1	1	1000	4
1	10.0.0.1	10.0.0.2	43628	80	1452615327.693179	1452615327.769724	10	8	0	0	9	8	7	1	0	0	0	0	0	0	395	8432	1	5	395	8432	0	0	0	0	0	0	0	0	0	0	1	1	1/1	1/1	Y/Y	Y/Y	9	9	Y	Y	0	0	0	0	0	0	1460	1460	395	2896	395	1192	394	1686	46592	32256	29696	32256	0	0	38741	32256	395	1448	1	1	395	8432	0	0	0	0	0	0	0.000	0.060	24.2	24.3	0	0	5160	110157	3	7	2.6	0.5	9.4	0.6	4.9	0.5	3.9	0.0	2.6	0.6	2	2	2.6	0.6	9.4	0.6	6.0	0.6	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.006	0.000	0.006	0.010	0.070	3	1	1	1000	8
1	10.0.0.1	10.0.0.2	43634	80	1452615329.213504	1452615329.358814	14	12	0	0	13	12	11	1	0	0	0	0	0	0	396	16625	1	9	396	16625	0	0	0	0	0	0	0	0	0	0	1	1	1/1	1/1	Y/Y	Y/Y	9	9	Y	Y	0	0	0	0	0	0	1460	1460	396	2896	396	697	395	1847	64000	32256	29696	32256	0	0	47222	32256	396	1448	1	1	396	16625	0	0	0	0	0	0	0.000	0.133	24.3	24.3	0	0	2725	114411	3	11	2.6	0.5	5.6	0.6	3.6	0.5	1.7	0.0	2.6	0.6	2	2	2.6	0.6	5.6	0.6	4.1	0.6	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.006	0.000	0.006	0.010	0.142	3	1	1	1000	16
1	10.0.0.1	10.0.0.2	43644	80	1452615330.808652	1452615331.90863	19	17	0	0	18	17	16	1	0	0	0	0	0	0	396	33009	1	14	396	33009	0	0	0	0	0	0	0	0	0	0	1	2	1/1	1/1	Y/Y	Y/Y	9	9	Y	Y	0	0	0	0	0	0	1460	1460	396	2896	396	1448	395	2357	95232	32256	29696	32256	0	0	61639	32256	396	1448	1	1	396	33009	0	0	0	0	0	0	0.000	0.254	24.3	24.3	0	0	1403	116966	3	16	2.6	0.5	21.3	0.6	8.8	0.5	10.7	0.0	2.7	0.6	2	2	2.7	0.5	21.3	0.6	12.0	0.5	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.006	0.000	0.006	0.010	0.264	3	1	1	1000	32
1	10.0.0.1	10.0.0.2	43654	80	1452615332.447888	1452615333.4856	32	30	0	0	31	30	29	1	0	0	0	0	0	0	396	65778	1	27	396	65778	0	0	0	0	0	0	0	0	0	0	1	3	1/1	1/1	Y/Y	Y/Y	9	9	Y	Y	0	0	0	0	0	0	1460	1460	396	2896	396	618	395	2436	162816	32256	29696	32256	0	0	94488	32256	396	1448	1	1	396	65778	0	0	0	0	0	0	0.000	0.544	24.3	24.3	0	0	711	118100	3	29	2.6	0.5	5.5	0.6	3.6	0.5	1.7	0.0	2.6	0.5	2	2	2.6	0.5	5.5	0.5	4.1	0.5	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.006	0.000	0.006	0.010	0.554	3	1	1	1000	64
1	10.0.0.1	10.0.0.2	43660	80	1452615334.472384	1452615335.578180	53	51	0	0	52	51	50	1	0	0	0	0	0	0	397	131315	1	48	397	131315	0	0	0	0	0	0	0	0	0	0	1	4	1/1	1/1	Y/Y	Y/Y	9	9	Y	Y	0	0	0	0	0	0	1460	1460	397	2896	397	1448	396	2735	184832	32256	29696	32256	0	0	133238	32256	397	1448	1	1	397	131315	0	0	0	0	0	0	0.000	1.078	24.8	24.8	0	0	359	118752	3	50	2.6	0.5	20.7	0.6	8.6	0.5	10.4	0.0	2.6	0.6	2	2	2.6	0.5	20.7	0.6	11.7	0.5	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.006	0.000	0.007	0.010	1.088	3	1	1	1000	128
1	10.0.0.1	10.0.0.2	43670	80	1452615337.19685	1452615339.223793	99	98	0	0	98	98	96	1	0	0	0	0	0	0	397	262387	1	95	397	262387	0	0	0	0	0	0	0	0	0	0	1	4	1/1	1/1	Y/Y	Y/Y	9	9	Y	Y	0	0	0	0	0	0	1460	1460	397	2896	397	299	396	2761	278016	32256	29696	32256	0	0	193734	32256	397	1448	1	1	397	262387	0	0	0	0	0	0	0.000	2.194	36.3	25.4	0	0	180	119045	3	96	2.6	0.5	2.6	0.6	2.6	0.5	0.0	0.0	2.6	0.6	2	2	2.6	0.5	2.6	0.6	2.6	0.5	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.006	0.000	0.006	0.010	2.204	3	1	1	1000	256
1	10.0.0.1	10.0.0.2	43680	80	1452615340.687580	1452615345.84781	188	191	0	0	187	191	185	1	0	0	0	0	0	0	397	524531	1	188	397	524531	0	0	0	0	0	0	0	0	0	0	1	5	1/1	1/1	Y/Y	Y/Y	9	9	Y	Y	0	0	0	0	0	0	1460	1460	397	2896	397	1448	396	2790	254976	32256	29696	32256	0	0	219628	32256	397	1448	1	1	397	524531	0	0	0	0	0	0	0.000	4.375	36.4	25.5	0	0	90	119287	3	185	2.6	0.5	14.9	0.6	6.7	0.5	7.1	0.0	2.6	0.6	2	2	2.6	0.6	14.9	0.6	8.7	0.6	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	5	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.006	0.000	0.006	0.010	4.385	3	1	1	1000	512
